Date,floor1_kWh,floor2_kWh,floor3_kWh,floor4_kWh,floor5_kWh,floor6_kWh,floor7_kWh
2018-07-01,3317.53,191.29,13.64,188.08,26.66,53.43,37.05
2018-07-02,3628.86,1074.12,882.15,817.61,838.1,880.33,988.0
2018-07-03,2887.1,1015.27,777.49,746.98,791.8,786.13,1096.24
2018-07-04,2942.12,1009.11,778.49,740.13,774.94,726.52,918.17
2018-07-05,2800.66,1045.69,776.43,733.69,760.17,758.21,1119.82
2018-07-06,3539.91,1109.32,755.58,723.67,738.03,704.54,1089.26
2018-07-07,3265.64,733.19,38.9,240.36,69.95,73.43,471.87
2018-07-08,2987.86,153.95,14.85,40.49,18.83,115.26,56.03
2018-07-09,2902.19,1155.82,841.42,780.95,826.86,826.77,1057.64
2018-07-10,2899.95,1101.36,762.9,735.44,755.8,726.11,1042.18
2018-07-11,2706.86,1051.71,723.55,713.99,715.02,675.51,1117.59
2018-07-12,3240.68,1077.04,732.05,709.69,686.81,653.38,889.88
2018-07-13,2793.42,1175.69,685.3,704.24,717.84,651.93,997.49
2018-07-14,2424.09,435.34,58.05,210.57,24.94,37.95,125.58
2018-07-15,2476.34,134.98,13.72,46.87,18.87,81.16,58.55
2018-07-16,3054.57,953.99,823.48,729.55,791.32,796.21,1037.22
2018-07-17,2715.66,1036.13,727.65,662.9,679.66,667.93,800.54
2018-07-18,2455.83,1064.2,709.44,692.12,701.43,689.81,972.92
2018-07-19,2791.88,1001.54,699.46,694.35,679.07,645.93,887.57
2018-07-20,3303.05,1048.39,708.1,702.17,712.74,666.27,1010.61
2018-07-21,3032.11,693.15,56.28,261.89,55.44,39.95,206.13
2018-07-22,3188.79,211.09,36.04,49.06,45.86,103.35,315.48
2018-07-23,3337.35,916.19,846.32,783.94,837.42,830.95,971.75
2018-07-24,3251.38,1029.14,791.46,718.27,745.84,712.43,1012.81
2018-07-25,3097.33,929.14,763.99,703.34,729.28,700.17,912.56
2018-07-26,3249.46,1026.86,744.08,704.49,702.59,698.09,867.76
2018-07-27,3068.51,220.51,64.58,92.09,87.39,129.45,147.26
